RowNumber,CustomerId,Surname,Geography,HasCrCard,IsActiveMember,Gender,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Exited
173,15651022,Yost,Germany,1,0,Male,480,44,10,129608.57,1,5472.7,1
174,15586310,Ting,France,1,0,Male,578,30,4,169462.09,1,112187.11,0
175,15625524,Rowe,France,1,1,Male,512,40,5,0,2,146457.83,0
176,15755209,Fu,Spain,1,1,Female,484,35,7,133868.21,1,27286.1,0
177,15645248,Ho,France,1,1,Female,510,30,0,0,2,130553.47,0
178,15790355,Okechukwu,Germany,0,0,Male,606,36,5,190479.48,2,179351.89,0
179,15762615,Campbell,Spain,0,1,Female,597,40,8,101993.12,1,94774.12,0
180,15625426,Ashbolt,Germany,1,0,Female,754,55,3,161608.81,1,8080.85,1
181,15716334,Rozier,Spain,1,1,Female,850,45,2,122311.21,1,19482.5,0
182,15789669,Hsia,France,1,1,Male,510,65,2,0,2,48071.61,0
183,15621075,Ogbonnaya,Germany,1,0,Female,778,45,1,162150.42,2,174531.27,0
184,15810845,T'ang,France,1,1,Male,636,42,2,0,2,55470.78,0
185,15719377,Cocci,France,1,1,Female,804,50,4,0,1,8546.87,1
186,15654506,Chang,France,1,0,Male,514,32,8,0,2,95857.18,0
187,15771977,T'ao,France,1,0,Female,730,39,1,99010.67,1,194945.8,0
188,15708710,Ford,Spain,0,1,Female,525,37,0,0,1,131521.72,0
189,15726676,Marshall,Spain,0,1,Male,616,30,5,0,2,196108.51,0
190,15587421,Tsai,Germany,1,0,Female,687,34,7,111388.18,2,148564.76,0
191,15726931,Onwumelu,France,0,0,Female,715,41,8,56214.85,2,92982.61,1
192,15771086,Graham,France,1,0,Female,512,36,3,84327.77,2,17675.36,0
193,15756850,Golovanov,France,0,0,Male,479,40,1,0,2,114996.43,0
194,15702741,Potts,France,1,0,Male,601,32,8,93012.89,1,86957.42,0
195,15679200,Crawford,Spain,1,0,Male,580,29,9,61710.44,2,128077.8,0
196,15594815,Aleshire,France,1,1,Male,807,35,3,174790.15,1,600.36,0
197,15635905,Moran,Spain,1,1,Female,616,32,6,0,2,43001.46,0
198,15777892,Samsonova,Germany,1,1,Male,721,37,3,107720.64,1,158591.12,0
199,15656176,Jenkins,France,1,1,Male,501,57,10,0,2,47847.19,0
200,15811127,Volkov,France,1,0,Male,521,35,6,96423.84,1,10488.44,0
201,15604482,Chiemezie,Spain,1,1,Male,850,30,2,141040.01,1,5978.2,0
202,15622911,Jude,France,0,1,Male,759,42,4,105420.18,1,121409.06,0
203,15600974,He,Spain,0,1,Male,516,50,5,0,1,146145.93,1
204,15727868,Onuora,France,1,1,Female,711,38,2,129022.06,2,14374.86,1
205,15627801,Ginikanwa,Spain,1,0,Male,512,33,3,176666.62,1,94670.77,0
206,15773039,Ku,France,1,1,Male,550,37,3,0,1,179670.31,0
207,15755262,McDonald,Spain,0,0,Female,608,41,3,89763.84,1,199304.74,1
208,15679531,Collins,France,1,1,Male,618,34,5,134954.53,1,151954.39,0
209,15684181,Hackett,France,1,0,Male,643,45,5,0,1,142513.5,1
210,15612087,Dike,France,0,1,Male,671,45,2,106376.85,1,158264.62,0
211,15752047,Trevisano,Germany,1,0,Male,689,33,2,161814.64,2,169381.9,0
212,15624592,Tan,France,1,1,Male,603,31,8,0,2,169915.02,0
213,15573152,Glassman,France,0,0,Female,620,41,9,0,2,88852.47,0
214,15594917,Miller,France,1,1,Female,676,34,1,63095.01,1,40645.81,0
215,15785542,Kornilova,Germany,0,0,Male,572,26,4,118287.01,2,60427.3,0
216,15723488,Watson,Germany,0,1,Male,668,47,7,106854.21,1,157959.02,1
217,15680920,Marchesi,France,1,0,Male,695,46,7,49512.55,1,133007.34,0
218,15786308,Millar,Spain,0,0,Female,730,33,9,0,2,176576.62,0
219,15659366,Shih,France,1,0,Male,807,43,1,105799.32,2,34888.04,1
220,15774854,Fuller,France,1,1,Male,592,54,8,0,1,28737.71,1
221,15725311,Hay,France,1,1,Female,726,31,9,114722.05,2,98178.57,0
222,15787155,Yang,Spain,0,1,Male,514,30,7,0,1,125010.24,0
223,15727829,McIntyre,France,1,1,Male,567,42,2,0,2,167984.61,0
224,15733247,Stevenson,France,1,0,Male,850,33,10,0,1,4861.72,1
225,15568748,Poole,Germany,1,1,Male,671,45,6,99564.22,1,108872.45,1
226,15699029,Bagley,France,1,0,Male,670,37,4,170557.91,2,198252.88,0
227,15774393,Ch'ien,France,1,1,Female,694,30,9,0,2,26960.31,0
228,15676895,Cattaneo,Germany,1,1,Female,547,39,6,74596.15,3,85746.52,1
229,15637753,O'Sullivan,Germany,1,0,Male,751,50,2,96888.39,1,77206.25,1
230,15605461,Lucas,Germany,1,0,Female,594,29,3,130830.22,1,61048.53,0
231,15808473,Ringrose,France,0,1,Male,673,72,1,0,2,111981.19,0
232,15627000,Freeman,France,1,0,Male,610,40,0,0,2,62232.6,0
233,15787174,Sergeyev,France,0,1,Female,512,37,1,0,2,156105.03,0
234,15723886,Fiore,Germany,0,1,Male,767,20,3,119714.25,2,150135.38,0
235,15704769,Smith,France,0,1,Female,585,67,5,113978.97,2,93146.11,0
236,15772896,Dumetochukwu,Germany,1,0,Male,763,42,6,100160.75,1,33462.94,1
237,15711540,Pacheco,France,1,1,Female,712,29,2,0,1,144375,0
238,15764866,Synnot,Germany,1,0,Female,539,43,3,116220.5,3,55803.96,1
239,15794056,Johnston,France,1,0,Female,668,46,2,0,3,89048.46,1
240,15795149,Stevens,France,0,1,Male,703,28,2,81173.83,2,162812.16,0
241,15812009,Grant,Spain,1,0,Male,662,38,4,0,2,136259.65,0
242,15651001,Tsao,Germany,1,0,Female,725,39,5,116803.8,1,124052.97,0
243,15813844,Barnes,France,0,1,Male,703,37,8,105961.68,2,74158.8,0
244,15596175,McIntosh,Germany,1,1,Male,659,67,6,117411.6,1,45071.09,1
245,15576269,Madison,Spain,1,0,Male,523,34,7,0,2,62030.06,0
246,15797219,Ifesinachi,France,1,0,Female,635,40,10,123497.58,1,131953.23,1
247,15685500,Glazkov,Germany,1,0,Male,772,26,7,152400.51,2,79414,0
248,15599792,Dimauro,France,1,1,Female,545,26,1,0,2,199638.56,0
249,15657566,Wieck,Germany,1,1,Male,634,24,8,103097.85,1,157577.29,0
250,15772423,Liao,Germany,1,0,Male,739,54,8,126418.14,1,134420.75,1
251,15628112,Hughes,Germany,0,0,Female,771,36,5,77846.9,1,99805.99,0
252,15753754,Morrison,Spain,1,1,Female,587,34,1,0,2,97932.68,0
253,15793726,Matveyeva,France,0,1,Female,681,79,0,0,2,170968.99,0
254,15694717,Ku,Germany,1,1,Male,544,37,2,79731.91,1,57558.95,0
255,15665834,Cheatham,Spain,0,0,Male,696,28,8,0,1,176713.47,0
256,15765297,Yao,Spain,0,1,Male,766,41,0,0,2,34283.23,0
257,15636684,Kirkland,France,1,1,Male,727,34,10,0,2,198637.34,0
258,15592979,Rose,Germany,0,0,Female,671,34,6,37266.67,2,156917.12,0
259,15750803,Jess,France,1,1,Female,693,30,6,127992.25,1,50457.2,0
260,15607178,Welch,Germany,1,1,Male,850,38,3,54901.01,1,140075.55,0
261,15713853,Ifeajuna,Germany,1,1,Male,732,42,9,108748.08,2,65323.11,0
262,15673481,Morton,Spain,1,0,Female,726,48,6,99906.19,1,64323.24,0
263,15686776,Rossi,France,1,0,Female,557,32,6,184686.41,2,14956.44,0
264,15673693,Reppert,France,0,1,Female,682,26,0,110654.02,1,111879.21,0
265,15700696,Kang,Spain,1,1,Male,738,31,9,79019.8,1,18606.23,0
266,15813163,Ch'iu,Spain,1,0,Female,531,36,9,99240.51,1,123137.01,0
267,15653857,Wallis,France,1,1,Male,498,34,2,0,2,148528.24,0
268,15777076,Clark,France,1,0,Male,651,36,7,0,2,13898.31,0
269,15717398,Fielding,Spain,0,0,Female,549,39,7,0,1,81259.25,1
270,15799217,Zetticci,Germany,1,0,Female,791,35,7,52436.2,1,161051.75,0
271,15787071,Dulhunty,Spain,0,1,Male,650,41,9,0,2,191599.67,0
272,15619955,Bevington,Germany,1,0,Male,733,34,3,100337.96,3,48559.19,1
273,15796505,Boyle,Germany,1,1,Female,811,34,1,149297.19,2,186339.74,0
274,15725166,Newton,France,1,0,Male,707,30,8,0,2,33159.37,0
275,15800116,Bowman,Germany,0,1,Male,712,28,4,145605.44,1,93883.53,0
276,15758685,Dubinina,Spain,1,1,Female,706,37,7,0,2,110899.3,0
277,15694456,Toscani,France,1,1,Male,756,62,3,0,1,11199.04,1
278,15767339,Chiazagomekpere,France,1,0,Female,777,53,10,0,2,189992.97,0
279,15683562,Allen,France,0,1,Male,646,35,6,84026.86,1,164255.69,0
280,15782210,K'ung,France,1,0,Male,714,46,1,0,1,152167.79,1
281,15668893,Wilsmore,France,1,1,Male,782,39,8,0,2,33949.67,0
282,15669169,Hargreaves,Spain,1,1,Male,775,29,10,0,2,68143.93,0
283,15643024,Huang,Germany,1,1,Male,479,35,4,138718.92,1,47251.79,1
284,15699389,Ch'ien,France,1,1,Male,807,42,7,118274.71,1,25885.72,0
285,15708608,Wallwork,France,0,1,Female,799,22,8,174185.98,2,192633.85,0
286,15626144,Chu,France,1,0,Male,675,40,7,113208.86,2,34577.36,0
287,15573112,Kang,Spain,1,0,Male,602,29,5,103907.28,1,161229.84,0
288,15790678,Davidson,France,1,0,Female,475,32,8,119023.28,1,100816.29,0
289,15727556,O'Donnell,Spain,1,1,Female,744,26,5,166297.89,1,181694.44,0
290,15697307,Nnachetam,Spain,1,0,Male,588,34,10,0,2,79078.91,0
291,15652266,Chidiebele,Germany,0,1,Male,703,42,9,63227,1,137316.32,0
292,15607098,Ahmed,Spain,1,0,Female,747,41,5,94521.17,2,194926.86,0
293,15655774,Booth,France,1,0,Male,583,27,7,0,2,51285.49,0
294,15590241,Chuang,Spain,0,0,Female,750,34,9,112822.26,1,150401.53,1
295,15785819,Shao,France,1,1,Male,681,38,3,0,2,112491.96,0
296,15723654,Tsao,France,1,0,Male,773,25,2,135903.33,1,73656.38,0
297,15774510,Tien,France,1,1,Female,714,31,4,125169.26,1,106636.89,0
298,15684173,Chang,Spain,1,0,Female,687,44,7,0,3,155853.52,1
299,15650068,Johnson,France,1,1,Male,511,58,0,149117.31,1,162599.51,0
300,15811490,French,France,1,1,Male,627,33,5,0,2,103737.82,0
301,15803976,Efremov,France,1,0,Female,694,31,10,0,2,160990.27,0
302,15682541,Hartley,Spain,0,0,Female,616,36,6,132311.71,1,15462.84,0
303,15695699,Calabrese,France,1,0,Male,687,35,8,0,2,10334.05,0
304,15624188,Chiu,France,1,1,Female,712,33,6,0,2,190686.16,0
305,15812191,Brennan,France,0,0,Male,553,33,4,118082.89,1,94440.45,0
306,15636673,Onwuatuegwu,France,1,1,Male,667,31,1,119266.69,1,28257.63,0
307,15594898,Hewitt,France,1,1,Male,731,43,2,0,1,170034.95,1
308,15660211,Shih,Germany,1,0,Male,629,35,7,156847.29,2,31824.29,0
309,15773972,Balashov,France,1,0,Male,614,50,4,137104.47,1,127166.49,1
310,15746726,Doyle,Germany,1,0,Male,438,31,8,78398.69,1,44937.01,0
311,15712287,Pokrovskii,France,1,1,Female,652,80,4,0,2,188603.07,0
312,15702919,Collins,Germany,1,0,Male,729,30,6,63669.42,1,145111.37,0
313,15674398,Russo,France,0,0,Male,642,38,3,0,2,171463.83,0
314,15797960,Skinner,Germany,1,0,Female,806,59,0,135296.33,1,182822.5,0
315,15631868,Robertson,Spain,1,1,Male,744,36,2,153804.44,1,87213.33,0
316,15581539,Atkinson,Spain,0,0,Male,474,37,3,0,2,57175.32,0
317,15662736,Doyle,France,1,0,Male,559,49,2,147069.78,1,120540.83,1
318,15666252,Ritchie,Spain,1,1,Male,706,42,9,0,2,28714.34,0
319,15677512,McEncroe,Spain,1,0,Female,628,22,3,0,1,85426.28,0
320,15626114,Pearson,France,1,0,Male,429,24,4,95741.75,1,46170.75,0
321,15810834,Gordon,Spain,1,1,Female,525,57,2,145965.33,1,64448.36,0
322,15678910,Ts'ai,France,1,1,Female,680,30,8,141441.75,1,16278.97,0
323,15694408,Lung,France,1,0,Male,749,40,1,139290.41,1,182855.42,1
324,15585215,Yuan,France,0,0,Female,763,31,4,0,2,50404.72,0
325,15682757,Pardey,France,1,0,Male,734,30,3,0,2,107640.25,0
326,15736601,Tai,France,1,0,Male,716,35,4,144428.87,1,134132.65,0
327,15601848,Scott,France,1,0,Male,594,35,2,0,2,103480.69,0
328,15736008,Hunter,France,1,0,Female,644,46,9,95441.27,1,108761.05,1
329,15669064,Mazzanti,Germany,1,1,Male,671,35,1,144848.74,1,179012.3,0
330,15624528,L?,Germany,1,1,Male,664,26,7,116244.14,2,95145.14,0
331,15598493,Beach,France,0,1,Male,656,50,7,0,2,72143.44,0
332,15601274,Hsieh,Spain,1,0,Female,667,40,1,146502.07,1,19162.89,0
333,15702669,Faulkner,Germany,0,1,Male,663,44,2,117028.6,2,144680.18,0
334,15728669,Knowles,Germany,1,0,Female,584,30,8,112013.81,1,177772.03,1
335,15742668,Day,Spain,1,0,Female,626,37,6,108269.37,1,5597.94,0
336,15697441,Hsueh,France,1,0,Male,485,29,7,182123.79,1,116828.51,1
337,15740476,Tsao,Germany,0,1,Female,659,32,3,150923.74,2,174652.51,0
338,15648064,Kennedy,France,1,0,Male,649,33,2,0,2,2010.98,0
339,15636624,Nwabugwu,Spain,1,0,Female,805,39,5,165272.13,1,14109.85,1
340,15807923,Young,Germany,1,0,Female,716,39,10,115301.31,1,43527.4,1
341,15745844,Kerr,Germany,0,1,Female,642,40,6,129502.49,2,86099.23,1
342,15786170,Tien,France,0,0,Male,659,31,4,118342.26,1,161574.19,0
343,15681081,Marrero,Spain,1,1,Female,545,47,5,0,2,38970.14,0
344,15684484,White,France,0,0,Male,543,22,8,0,2,127587.22,0
345,15785869,Pisano,France,1,0,Female,718,25,7,0,2,30380.12,0
